epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
59,18899,,,0.48490867018699646,1.7607297897338867,,
60,19214,,,,,0.6127620339393616,1.3668662309646606
60,19214,,,0.4856036603450775,1.753691554069519,,
61,19529,,,,,0.6127620339393616,1.349323034286499
61,19529,,,0.4851568639278412,1.752063274383545,,
62,19844,,,,,0.6088458895683289,1.3744813203811646
62,19844,,,0.4864972233772278,1.7556451559066772,,
63,20159,,,,,0.6182907223701477,1.3564598560333252
63,20159,,,0.4892772138118744,1.7352330684661865,,
64,20474,,,,,0.620594322681427,1.3499537706375122
64,20474,,,0.49146148562431335,1.7454702854156494,,
65,20789,,,,,0.6233586668968201,1.3577253818511963
65,20789,,,0.4910643398761749,1.7293407917022705,,
66,21104,,,,,0.62934809923172,1.3178755044937134
66,21104,,,0.5050138831138611,1.6871860027313232,,
67,21419,,,,,0.6378714442253113,1.307287573814392
67,21419,,,0.509283185005188,1.6705470085144043,,
68,21734,,,,,0.6364892721176147,1.301809549331665
68,21734,,,0.5080420970916748,1.6678498983383179,,
69,22049,,,,,0.6466252207756042,1.2955399751663208
69,22049,,,0.5058081746101379,1.6726757287979126,,
70,22364,,,,,0.6330338716506958,1.2982912063598633
70,22364,,,0.5102263689041138,1.6670255661010742,,
71,22679,,,,,0.6374107599258423,1.2921544313430786
71,22679,,,0.5073967576026917,1.6587111949920654,,
72,22994,,,,,0.6489288210868835,1.2684868574142456
72,22994,,,0.5095810294151306,1.668662428855896,,
73,23309,,,,,0.6480073928833008,1.3155193328857422
73,23309,,,0.5100774168968201,1.659977674484253,,
74,23624,,,,,0.6530753374099731,1.2783335447311401
74,23624,,,0.5147438645362854,1.6453648805618286,,
75,23939,,,,,0.653766393661499,1.2514674663543701
75,23939,,,0.5136517286300659,1.6676615476608276,,
76,24254,,,,,0.6556093096733093,1.2531319856643677
76,24254,,,0.5169777870178223,1.64244544506073,,
77,24569,,,,,0.6429393887519836,1.2605419158935547
77,24569,,,0.5226370096206665,1.637926697731018,,
78,24884,,,,,0.6450126767158508,1.2937489748001099
78,24884,,,0.5196087956428528,1.6368672847747803,,
79,25199,,,,,0.6592950820922852,1.232194423675537
79,25199,,,0.5203037858009338,1.6369035243988037,,
80,25514,,,,,0.6549181938171387,1.238810420036316
80,25514,,,0.5213463306427002,1.6273537874221802,,
81,25829,,,,,0.6549181938171387,1.2432407140731812
81,25829,,,0.5180202722549438,1.6364470720291138,,
82,26144,,,,,0.6563003659248352,1.2478594779968262
82,26144,,,0.5218427181243896,1.627347707748413,,
83,26459,,,,,0.6611379981040955,1.2528324127197266
83,26459,,,0.5228356122970581,1.6357725858688354,,
84,26774,,,,,0.6694310307502747,1.2135528326034546
84,26774,,,0.5321683883666992,1.6021958589553833,,
85,27089,,,,,0.6664363145828247,1.2224823236465454
85,27089,,,0.5314733982086182,1.590328335762024,,
86,27404,,,,,0.6645933985710144,1.2166112661361694
86,27404,,,0.530828058719635,1.6001842021942139,,
87,27719,,,,,0.6675881147384644,1.1932449340820312
87,27719,,,0.5317712426185608,1.587174654006958,,
88,28034,,,,,0.6634415984153748,1.2187150716781616
88,28034,,,0.535295844078064,1.5787224769592285,,
89,28349,,,,,0.665745198726654,1.2094740867614746
89,28349,,,0.534451961517334,1.5887173414230347,,
90,28664,,,,,0.6655148863792419,1.209963321685791
90,28664,,,0.5354944467544556,1.5800659656524658,,
91,28979,,,,,0.659525454044342,1.2538719177246094
91,28979,,,0.5339555144309998,1.5894758701324463,,
92,29294,,,,,0.6680488586425781,1.1956894397735596
92,29294,,,0.5372815728187561,1.5742392539978027,,
93,29609,,,,,0.671734631061554,1.1935032606124878
93,29609,,,0.5425437092781067,1.569219708442688,,
94,29924,,,,,0.6703524589538574,1.1873046159744263
94,29924,,,0.5382744073867798,1.578355312347412,,
95,30239,,,,,0.6756507754325867,1.18259596824646
95,30239,,,0.5382744073867798,1.568498969078064,,
96,30554,,,,,0.6761115193367004,1.196190357208252
96,30554,,,0.5378772616386414,1.5745198726654053,,
97,30869,,,,,0.6712738871574402,1.191792607307434
97,30869,,,0.5376290678977966,1.5731689929962158,,
98,31184,,,,,0.6694310307502747,1.2157920598983765
98,31184,,,0.5376787185668945,1.573297381401062,,
99,31499,,,,,0.6768025755882263,1.1767561435699463
99,31499,,,0.5360404849052429,1.5831807851791382,,
100,31814,,,,,0.6708132028579712,1.2028539180755615
100,31814,,,0.5354944467544556,1.5738632678985596,,
101,32129,,,,,0.6719650030136108,1.176591396331787
101,32129,,,0.5421962141990662,1.5518320798873901,,
102,32444,,,,,0.6689702868461609,1.1856639385223389
102,32444,,,0.5451747179031372,1.5538132190704346,,
103,32759,,,,,0.6747293472290039,1.200141191482544
103,32759,,,0.5375297665596008,1.5673167705535889,,
104,33074,,,,,0.6758811473846436,1.181921362876892
104,33074,,,0.5379765629768372,1.5701876878738403,,
105,33389,,,,,0.6765722036361694,1.1982481479644775
105,33389,,,0.5397140383720398,1.559268832206726,,
106,33704,,,,,0.677493691444397,1.1756147146224976
106,33704,,,0.5499900579452515,1.5421457290649414,,
107,34019,,,,,0.6765722036361694,1.175087571144104
107,34019,,,0.5455222129821777,1.5472297668457031,,
108,34334,,,,,0.6701220870018005,1.1865161657333374
108,34334,,,0.5398133397102356,1.5559076070785522,,
109,34649,,,,,0.6747293472290039,1.1770635843276978
109,34649,,,0.5388701558113098,1.5526456832885742,,
110,34964,,,,,0.671734631061554,1.2053627967834473
110,34964,,,0.5417990684509277,1.5506027936935425,,
111,35279,,,,,0.677493691444397,1.1810877323150635
111,35279,,,0.5451251268386841,1.5527842044830322,,
112,35594,,,,,0.6797972917556763,1.1586049795150757
112,35594,,,0.5434868931770325,1.5446101427078247,,
113,35909,,,,,0.6781847476959229,1.1687498092651367
113,35909,,,0.5400119423866272,1.5538506507873535,,
114,36224,,,,,0.683713436126709,1.169176459312439
114,36224,,,0.5446783304214478,1.5571463108062744,,
115,36539,,,,,0.6844044923782349,1.1614012718200684
115,36539,,,0.5403594374656677,1.560128927230835,,
116,36854,,,,,0.6797972917556763,1.1598118543624878
116,36854,,,0.5427422523498535,1.5510886907577515,,
117,37169,,,,,0.6841741800308228,1.1728439331054688
117,37169,,,0.5410544276237488,1.549006700515747,,
118,37484,,,,,0.6804883480072021,1.16964590549469
118,37484,,,0.5418487191200256,1.5529450178146362,,
119,37799,,,,,0.6756507754325867,1.1765905618667603
119,37799,,,0.5430400967597961,1.5547970533370972,,
120,37800,0.6797972917556763,1.1586049795150757,,,,
