epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,314,,,,,0.11610227823257446,3.198998212814331
0,314,,,0.07088959217071533,3.4563305377960205,,
1,629,,,,,0.17645703256130219,2.9476075172424316
1,629,,,0.1277303397655487,3.1535286903381348,,
2,944,,,,,0.1990324854850769,2.84004282951355
2,944,,,0.16436655819416046,2.9962990283966064,,
3,1259,,,,,0.22967058420181274,2.700937271118164
3,1259,,,0.18328037858009338,2.896763801574707,,
4,1574,,,,,0.27597329020500183,2.589024305343628
4,1574,,,0.19991064071655273,2.820127010345459,,
5,1889,,,,,0.2794286906719208,2.5180845260620117
5,1889,,,0.2154487669467926,2.7556142807006836,,
6,2204,,,,,0.3059203028678894,2.44032883644104
6,2204,,,0.22830618917942047,2.6986286640167236,,
7,2519,,,,,0.3464639484882355,2.356956720352173
7,2519,,,0.23972398042678833,2.638241767883301,,
8,2834,,,,,0.3526837229728699,2.2915213108062744
8,2834,,,0.26027601957321167,2.5730795860290527,,
9,3149,,,,,0.3711126446723938,2.241001605987549
9,3149,,,0.270105242729187,2.5320188999176025,,
10,3464,,,,,0.3630499839782715,2.197965383529663
10,3464,,,0.2829130291938782,2.4835519790649414,,
11,3779,,,,,0.38286107778549194,2.1493568420410156
11,3779,,,0.297756165266037,2.4371867179870605,,
12,4094,,,,,0.4003685712814331,2.1190226078033447
12,4094,,,0.3043089807033539,2.402665376663208,,
13,4409,,,,,0.4105044901371002,2.0677404403686523
13,4409,,,0.31751391291618347,2.3640642166137695,,
14,4724,,,,,0.4448283910751343,2.0140485763549805
14,4724,,,0.3281870484352112,2.32854962348938,,
15,5039,,,,,0.44782307744026184,1.9552607536315918
15,5039,,,0.33697378635406494,2.2867021560668945,,
16,5354,,,,,0.454964280128479,1.9487742185592651
16,5354,,,0.3374702036380768,2.2726449966430664,,
17,5669,,,,,0.4717806875705719,1.886730432510376
17,5669,,,0.34749799966812134,2.2487576007843018,,
18,5984,,,,,0.48375949263572693,1.8680500984191895
18,5984,,,0.35305798053741455,2.213982105255127,,
19,6299,,,,,0.47938263416290283,1.853271484375
19,6299,,,0.36119937896728516,2.1949338912963867,,
20,6614,,,,,0.49389541149139404,1.8244503736495972
20,6614,,,0.3720214366912842,2.1673476696014404,,
21,6929,,,,,0.49965447187423706,1.8170576095581055
21,6929,,,0.37311357259750366,2.1564114093780518,,
22,7244,,,,,0.5086385607719421,1.788443922996521
22,7244,,,0.37703534960746765,2.143305778503418,,
23,7559,,,,,0.5084081888198853,1.7626584768295288
23,7559,,,0.38353851437568665,2.1118671894073486,,
24,7874,,,,,0.5155494213104248,1.7372677326202393
24,7874,,,0.3906373977661133,2.093282461166382,,
25,8189,,,,,0.5233817100524902,1.715641736984253
25,8189,,,0.3952045142650604,2.0777640342712402,,
26,8504,,,,,0.5229209661483765,1.674940824508667
26,8504,,,0.3986298739910126,2.065580129623413,,
27,8819,,,,,0.5259156823158264,1.6913386583328247
27,8819,,,0.3988284468650818,2.056820869445801,,
28,9134,,,,,0.5337479710578918,1.6599678993225098
28,9134,,,0.4045373201370239,2.0396597385406494,,
29,9449,,,,,0.5328265428543091,1.6637507677078247
29,9449,,,0.40999799966812134,2.0269622802734375,,
30,9764,,,,,0.5321354269981384,1.6650452613830566
30,9764,,,0.41660046577453613,2.007239580154419,,
31,10079,,,,,0.5441142320632935,1.6369425058364868
31,10079,,,0.4177919030189514,1.9992276430130005,,
32,10394,,,,,0.5484911203384399,1.6021159887313843
32,10394,,,0.42364972829818726,1.9757434129714966,,
33,10709,,,,,0.5452660918235779,1.620404839515686
33,10709,,,0.4230043590068817,1.983043909072876,,
